Título,Precio,Año,Kilometraje,Ubicación,Enlace,Score
Mazda Cx-5 2.0 Mid Fwd,64200000,2015,95000,Laureles - Medellín,https://carro.mercadolibre.com.co/MCO-2862721282-mazda-cx-5-20-mid-fwd-_JM#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=81b3f645-e53c-4053-99d7-37fca7207faa,33.1
Chevrolet Tracker 1.8 Premier Awd At,60900000,2019,58058,Aguacatala - Medellín,https://carro.mercadolibre.com.co/MCO-1565816097-chevrolet-tracker-18-premier-awd-at-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=c5081505-b365-4707-a071-316a6bed355b,58.5
Renault Captur 2.0 Bose Automática,64000000,2020,43000,Guayabal - Medellín,https://carro.mercadolibre.com.co/MCO-2865652294-renault-captur-20-bose-automatica-_JM#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=26ea5e31-1826-4a79-9a44-ca9b5f22afc6,62.8
Chevrolet Tracker 1.8 Ls At,55500000,2020,29700,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-1573160615-chevrolet-tracker-18-ls-at-_JM#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=9acaad1b-3980-4688-b3df-d393a4b50dde,70.8
Dodge Journey 2.4 Se Fl,54900000,2018,48600,Suramericana - Medellín,https://carro.mercadolibre.com.co/MCO-1554787061-dodge-journey-24-se-fl-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=9acaad1b-3980-4688-b3df-d393a4b50dde,59.6
Ford Edge 3.5 Limited Fl,52900000,2014,147000,Belén Loma De Los Bernal - Medellín,https://carro.mercadolibre.com.co/MCO-2841820172-ford-edge-35-limited-fl-_JM#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=be3070fd-7b24-4244-ac88-5d8c262fc847,29.3
Ford Ecosport 2.0 Titanium At,64900000,2020,34000,Laureles - Medellín,https://carro.mercadolibre.com.co/MCO-2864278126-ford-ecosport-20-titanium-at-_JM#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=81b3f645-e53c-4053-99d7-37fca7207faa,63.5
Renault Koleos 2.5 Sportway Bose,51000000,2016,98962,Alcalá - Envigado,https://carro.mercadolibre.com.co/MCO-1562769449-renault-koleos-sportway-4x2-blanca-_JM#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=c5081505-b365-4707-a071-316a6bed355b,46.4
Kia New Sportage Lx 2.0l,45000000,2014,99000,Robledo - Medellín,https://carro.mercadolibre.com.co/MCO-1580336837-kia-sportage-lx-2014-excelente-estado-unico-dueno-full-equ-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=26ea5e31-1826-4a79-9a44-ca9b5f22afc6,41.8
Chevrolet Tracker 1.8 Premier Awd At,63700000,2021,28270,Florida - Medellín,https://carro.mercadolibre.com.co/MCO-2861068396-chevrolet-tracker-18-premier-awd-at-_JM#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=81b3f645-e53c-4053-99d7-37fca7207faa,69.6
Chevrolet Tracker 1.8 Ltz Awd At,52000000,2017,106000,Belén Las Playas - Medellín,https://carro.mercadolibre.com.co/MCO-1577022831-chevrolet-tracker-18-ltz-awd-at-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=c5081505-b365-4707-a071-316a6bed355b,49.1
Ford Escape 2.0 Se 4x4,46600000,2013,101000,Área Urbana - Retiro,https://carro.mercadolibre.com.co/MCO-1568098209-ford-escape-20-se-4x4-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=be3070fd-7b24-4244-ac88-5d8c262fc847,35.9
Honda Wr-v 1.5 Lx,60700000,2018,31000,Laureles - Medellín,https://carro.mercadolibre.com.co/MCO-1568668389-honda-wr-v-15-lx-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=be3070fd-7b24-4244-ac88-5d8c262fc847,58.0
Dodge Journey 2.4 Se/express Fl,45000000,2018,74000,Guayabal - Medellín,https://carro.mercadolibre.com.co/MCO-1573741959-dodge-journey-24-seexpress-fl-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=c5081505-b365-4707-a071-316a6bed355b,63.1
Chevrolet Captiva 2.4 Sport 169 Hp,39900000,2016,66500,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-2861849204-chevrolet-captiva-24-sport-169-hp-_JM#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=9acaad1b-3980-4688-b3df-d393a4b50dde,58.9
Kia Sportage 2.4 Revolution 4x4 At,64000000,2013,119000,La Doctora - Sabaneta,https://carro.mercadolibre.com.co/MCO-2854622462-kia-sportage-24-revolution-4x4-at-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=be3070fd-7b24-4244-ac88-5d8c262fc847,20.9
Dodge Journey 2.4 Se 7a At,39900000,2014,135000,Rionegro,https://carro.mercadolibre.com.co/MCO-2851822192-dodge-journey-24-se-7a-at-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=be3070fd-7b24-4244-ac88-5d8c262fc847,40.3
